#     gamma 1             gamma 2            pos
-0.0010611442110221609 0.002062105932364827 [27, 10]
-0.0017275492824291912 0.001495701352634178 [28, 10]
-0.004341585482026956 0.012111558421610153 [29, 10]
-0.0023089968476197823 0.0013324319780419127 [30, 10]
-0.01023785126207222 -0.002397431602262802 [31, 10]
0.0016299745315926898 0.011890832179229078 [0, 11]
-0.00038295872098168134 0.0038050905573827113 [1, 11]
0.007223584138776047 0.0010575182810996673 [2, 11]
0.002412557866644026 -0.013448953915045851 [3, 11]
0.0047128340534039964 -0.004136040062239878 [4, 11]
0.009163267256854329 -0.0029549745534074552 [5, 11]
-0.001898396356992276 0.0019536699176157363 [6, 11]
0.004760021958558589 0.008150611726213744 [7, 11]
-0.008048695414860982 2.697056504484251e-05 [8, 11]
0.003620304199220539 0.001596987495027576 [9, 11]
0.008724939230121413 0.0015403040157500952 [10, 11]
-0.0004638382304089213 -0.014364377256813474 [11, 11]
0.001291577263463928 -0.0008337943481230597 [12, 11]
-0.010223480869049345 0.017687584723786988 [13, 11]
-0.00667925730763339 -0.008434751162357765 [14, 11]
0.0033213465188571207 -0.01491575240712135 [15, 11]
0.0020531680345099498 -0.002967292862897403 [16, 11]
-0.008552221299547203 0.019384176354647082 [17, 11]
-0.012421500057069395 -0.01666552917815824 [18, 11]
0.003035330397039999 0.001726663189900943 [19, 11]
-0.0041226851730573055 0.015643957334032597 [20, 11]
0.006205630271901498 -0.005324786565597948 [21, 11]
-0.002335092424237857 -0.008611676710244626 [22, 11]
-0.003423855063625564 0.0054676201298291555 [23, 11]
-0.0044048007151515555 0.0007867130916538103 [24, 11]
-0.0009655580589614367 -0.0028389893816688134 [25, 11]
0.0020222303760075266 0.010072416367278432 [26, 11]
-0.00022003963247577187 -0.013531996910888182 [27, 11]
-0.00020074181453077347 -0.004960142582321832 [28, 11]
-0.0008780746714022931 -0.000509802513572918 [29, 11]
-0.0008844748116095651 -0.0004747773673445956 [30, 11]
0.002089120329173118 -0.0025425914187490626 [31, 11]
0.004883046955569813 -0.008129095170956233 [0, 12]
0.004766185559710369 0.0019832422203768514 [1, 12]
0.0017138861599551645 0.007121313271818551 [2, 12]
-0.0034126734177693987 -0.005520344215713733 [3, 12]
-0.00018797756169498567 0.0022955612431664156 [4, 12]
0.007762674591733152 0.013864443887404142 [5, 12]
0.00034091853018290843 0.0037548951496575106 [6, 12]
-0.00015752615191482844 -0.0024741380599404583 [7, 12]
-0.0054812136727942174 0.0006066741471032606 [8, 12]
-0.0014756795329842044 0.006756331556277745 [9, 12]
-0.003201344630327979 -0.0015459985457564789 [10, 12]
-0.0032344873199717512 -0.0018897261846025405 [11, 12]
-0.008582658244320836 -0.0009450196344281786 [12, 12]
0.003490858688710751 -0.002632699148897416 [13, 12]
-0.004619673338575758 -0.01294898177695435 [14, 12]
0.0027190618346733817 -0.001727918393983698 [15, 12]
