#     gamma 1            gamma 2              pos
-0.015251095680509969 -0.01583200768965483 [14, 12]
-0.003341785230040311 0.026490971603700612 [15, 12]
0.009048051122681422 -0.005290994431508133 [16, 12]
-0.0039145805333435256 0.0014702112622112977 [17, 12]
0.0007000550911924955 0.0059177764291592355 [18, 12]
-0.0023552559758028314 0.008365334474800082 [19, 12]
-0.004170088408973013 -0.007297170897233622 [20, 12]
-0.001771849646530681 -0.009221929491260565 [21, 12]
0.002763201331899963 0.00453215696400844 [22, 12]
0.0005996963206119808 0.007580705236197081 [23, 12]
-0.011874306513128128 0.003541920978227186 [24, 12]
-0.006953128694084034 0.0007714611186845242 [25, 12]
-0.006522921816209095 0.0017932581564950108 [26, 12]
0.005772191254733852 0.007789154037440653 [27, 12]
-0.006287272755962145 0.0035709263187586843 [28, 12]
0.0059031067628753835 0.010929029762481585 [29, 12]
-0.0033999459684497793 0.011573385357154362 [30, 12]
-0.0062834831653947 0.0021543940778377723 [31, 12]
-0.00989743649979879 -0.013971892199066914 [0, 13]
0.0031836200103914692 -0.005098067933190712 [1, 13]
-0.00792531276382572 -0.004546915152680559 [2, 13]
-0.02328096746658587 0.00345802080447156 [3, 13]
0.0017112130493061276 -0.006407500118085159 [4, 13]
0.014025110922749297 0.014427022767432083 [5, 13]
0.0015553049699626239 0.0045675037875132175 [6, 13]
0.03128852048054112 0.0012546054337067704 [7, 13]
0.004371137453682854 0.0017564512806248621 [8, 13]
-0.0034887533135425377 0.017305347883049205 [9, 13]
-0.005714385497991697 -0.014066681931867771 [10, 13]
-0.019227290936733154 0.005688684035653058 [11, 13]
0.022745473242185194 -0.0012114007991127318 [12, 13]
0.0061210772522311855 0.008175608733740384 [13, 13]
0.006826869356804264 0.00356589207373446 [14, 13]
-0.0009153538556924715 -0.002287254866293539 [15, 13]
0.00825429915000519 0.0083108618128103 [16, 13]
-0.002299528129699175 0.021223715767036064 [17, 13]
-0.014384290335500018 0.007625097050078226 [18, 13]
-0.0051461178447945 0.00036212946867908327 [19, 13]
0.0008742902463417637 0.014366909658034785 [20, 13]
-0.005578705349528937 -0.005691194531842961 [21, 13]
0.008369549302759096 0.012478898073832526 [22, 13]
-0.008763651277067092 -0.003695731583077048 [23, 13]
-0.005953786938994921 0.0024278369766469344 [24, 13]
0.016152269324430396 -0.0043054239158599236 [25, 13]
0.0040602676337767925 -0.006621914335948176 [26, 13]
-0.008107835902500277 -0.0020459469001720713 [27, 13]
-0.0063443353543656085 0.004646454130339391 [28, 13]
-0.009229118193743075 -0.00699199599501826 [29, 13]
-0.0026255147630004855 0.0028565831132495324 [30, 13]
0.012363064895233354 0.011638138116939555 [31, 13]
0.0009468207377554707 -0.0038629955308048924 [0, 14]
-0.01012244279456639 0.0023758532532447275 [1, 14]
0.001697839958216578 -0.0158763726563988 [2, 14]
0.00754256186457216 0.003959423719044259 [3, 14]
0.010839119434337963 -0.007046819766582977 [4, 14]
-0.002068714238255883 -0.007277283115564928 [5, 14]
-0.003338004103214626 0.006452956124579512 [6, 14]
-0.011000231264538774 0.0022933316439093633 [7, 14]
0.0015237214393983357 -0.0038395772331282748 [8, 14]
0.002574598665370917 0.003240452932583329 [9, 14]
-0.016313786938727263 -0.005161297735148529 [10, 14]
0.005087476543017808 -0.010034301507714843 [11, 14]
-0.002141816059879742 -0.008348892234726625 [12, 14]
0.0011330525538554798 0.003065091444861213 [13, 14]
-0.02695435806735503 -0.006182331360792293 [14, 14]
0.0006861326103576421 0.010761123068807128 [15, 14]
0.004405330528837352 -0.0012367011942153055 [16, 14]
-0.008334862844517715 0.013618207198729665 [17, 14]
-0.002011203488514125 0.006787853897354635 [18, 14]
0.003879916013092095 -0.006175110516426641 [19, 14]
-0.010723727619693205 0.008258876728643342 [20, 14]
-0.007180499082182025 0.000871667013173243 [21, 14]
-0.009368085879164118 -0.004270391493671505 [22, 14]
-0.00060558664892212 -0.0053053396138125685 [23, 14]
-0.010044755232101084 -0.009715962563530755 [24, 14]
-0.0004908955403411561 -0.0025060126476851344 [25, 14]
-0.014611006980701694 0.0022726682791700753 [26, 14]
0.002164769417100528 -0.00022943873449002703 [27, 14]
-0.0023786450698217287 -0.00325112525067005 [28, 14]
0.004604178564543397 0.00507741715147005 [29, 14]
0.00010552490960757198 -0.008616440866930997 [30, 14]
0.00045581642002863183 0.0019322009071769733 [31, 14]
-0.0047833751917568884 -0.002685041772932672 [0, 15]
-0.0053107586682698575 0.005051097982181135 [1, 15]
0.0035078746975733682 -0.008298807312674673 [2, 15]
0.016540999727561408 0.002480664510197529 [3, 15]
-0.018666924789369484 -0.014550730030767192 [4, 15]
-0.0164274037926299 -0.006974347666674596 [5, 15]
-0.009093353069397101 0.0009793309524477195 [6, 15]
0.010707660361654256 -0.00028033197637974825 [7, 15]
0.002571670526642297 0.004173541665581772 [8, 15]
0.009195035415789955 0.004604089674132194 [9, 15]
0.002206159708429679 -0.004865365933457955 [10, 15]
